epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8401,1.49496,2.45704,1.65223,0.51102,0.03047,0.00659,0.00165,2.78205,16.9569,4.42019,0.0703488,0.00329457,0.00329457
2,59.9584,1.59884,2.1183,1.68237,0.07429,0.08569,0.03467,0.01289,2.64793,9.40594,3.07866,0.0403474,0.00662644,0.00662644
3,89.3303,1.58085,2.1243,1.69828,0.60302,0.20799,0.10568,0.04823,1.87993,11.1626,2.04071,0.01034,0.0099524,0.0099524
4,119.313,1.50729,2.15132,1.65979,0.61814,0.22938,0.11625,0.05249,1.82158,4.21918,1.87351,0.00998003,0.00998003,0.00998003
5,148.81,1.44403,1.94861,1.58047,0.61751,0.24061,0.12425,0.05711,1.79778,3.22092,1.80082,0.00996452,0.00996452,0.00996452
6,178.413,1.51841,1.93295,1.65224,0.67681,0.26597,0.17791,0.08084,1.70738,3.47216,1.72738,0.0099446,0.0099446,0.0099446
7,207.812,1.41825,1.83123,1.53782,0.65532,0.35714,0.158,0.06893,2.14763,2.17615,2.02019,0.00992029,0.00992029,0.00992029
8,236.994,1.41468,1.70888,1.5136,0.69247,0.36635,0.20963,0.10438,1.75058,1.82981,1.67003,0.00989163,0.00989163,0.00989163
9,266.281,1.37892,1.68128,1.48209,0.69779,0.34907,0.22259,0.10375,1.8431,2.03182,1.71098,0.00985862,0.00985862,0.00985862
10,295.629,1.3787,1.61493,1.47205,0.68866,0.36089,0.20653,0.09184,1.89701,1.81589,1.75456,0.00982132,0.00982132,0.00982132
11,324.725,1.34598,1.55973,1.46067,0.72771,0.35364,0.24611,0.08729,2.22621,1.81053,1.9965,0.00977975,0.00977975,0.00977975
